course_id,learner_id,viewed,explored,certified,grade,nevents,ndays_act,learner_rating
0,0,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
9,1,5,5,5,1.0,0.008837908988341,0.439024390243902,3.08957245984645
10,1,5,5,5,0.99,0.088191049266642,0.634146341463415,3.14446747814601
10,2,5,0,0,0.0,0.000658142158706,0.073170731707317,0.514765774773205
8,3,5,0,0,0.0,0.005735238811583,0.121951219512195,0.525537291664756
4,4,5,0,0,0.0,0.004042873260624,0.024390243902439,0.505686623432613
9,5,5,5,0,0.0,0.03384731101918,1.21951219512195,1.75067190122823
4,5,5,0,0,0.0,0.00028206092516,0.073170731707317,0.514690558526495
6,6,5,0,0,0.0,0.024445280180519,0.024390243902439,0.509767104816592
8,7,0,0,0,0.0,0.0,0.0,0.0
6,8,5,5,0,0.0,0.077284693493795,0.292682926829268,1.57399352406461
8,9,5,0,0,0.0,0.024257239563746,0.439024390243902,0.59265632596153
8,10,5,0,0,0.01,0.010624294847687,0.073170731707317,0.516759005311001
10,10,5,0,0,0.0,0.009778112072208,0.097560975609756,0.521467817536393
10,11,5,0,0,0.0,0.004701015419331,0.024390243902439,0.505818251864354
0,11,5,5,0,0.0,0.028770214366303,0.24390243902439,1.55453453067814
5,11,5,0,0,0.0,0.001222264009026,0.024390243902439,0.505122501582293
4,12,5,0,0,0.0,0.0,0.048780487804878,0.509756097560976
11,13,0,0,0,0.0,0.000188040616773,0.048780487804878,0.00979370568433
2,13,5,0,0,0.0,0.001410304625799,0.073170731707317,0.514916207266623
8,14,5,5,5,0.66,0.223486273034976,0.341463414634146,3.11298993753382
9,15,5,0,0,0.0,0.000658142158706,0.024390243902439,0.505009677212229
8,16,0,0,0,0.0,0.0,0.0,0.0
9,17,5,0,0,0.0,0.001222264009026,0.024390243902439,0.505122501582293
12,18,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
1,19,5,5,0,0.0,0.012880782248966,0.073170731707317,1.51721030279126
9,20,5,0,0,0.0,0.000470101541933,0.024390243902439,0.504972069088874
4,20,5,0,0,0.0,0.003478751410305,0.024390243902439,0.505573799062549
2,21,0,0,0,0.0,0.000188040616773,0.024390243902439,0.004915656903842
11,22,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
0,23,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
4,23,5,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.504896852842165
9,24,5,0,0,0.0,0.006863482512223,0.341463414634146,0.569665379429274
11,25,0,0,0,0.0,0.002914629559985,0.024390243902439,0.005460974692485
9,26,5,0,0,0.0,0.000470101541933,0.024390243902439,0.504972069088874
4,27,5,0,0,0.01,0.082643851071832,0.121951219512195,0.540919014116805
4,28,5,0,0,0.0,0.051429108687477,0.195121951219512,0.549310211981398
3,29,5,0,0,0.0,0.011752538548327,0.048780487804878,0.512106605270641
4,30,5,0,0,0.0,0.000470101541933,0.024390243902439,0.504972069088874
